"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2005","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2006","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2007","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2008","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2009","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2010","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2011","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2012","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2013","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2014","3500",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2015","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2016","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2017","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2018","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2019","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2020","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","008","ALB","Albania","2021","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2005","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2006","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2007","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2008","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2009","182",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2010","236",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2011","287",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2012","513",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","051","ARM","Armenia","2013","641",
